observation_time,icao,temperature_k,dewpoint_k,wind_speed_mps,sfc_press_pa,cloud_cover
2021-06-01 00:00:00,KBOS,289.14999977777785,282.09999977777784,4.6313344,101958.91,
2021-06-01 01:00:00,KBOS,289.14999977777785,282.09999977777784,4.1172384000000015,101958.91,
2021-06-01 02:00:00,KBOS,289.14999977777785,282.09999977777784,2.57048,102026.59,43.75
2021-06-01 03:00:00,KBOS,288.14999977777785,282.09999977777784,4.6313344,102060.43,
2021-06-01 04:00:00,KBOS,288.14999977777785,281.09999977777784,5.6595264,102094.27,
2021-06-01 05:00:00,KBOS,287.14999977777785,281.09999977777784,4.6313344,102094.27,
2021-06-01 06:00:00,KBOS,287.14999977777785,281.09999977777784,3.0890464,102128.11,
2021-06-01 07:00:00,KBOS,286.14999977777785,282.1111108888889,3.6031424,102094.27,
2021-06-01 08:00:00,KBOS,287.14999977777785,282.1111108888889,4.1172384000000015,102128.11,
2021-06-01 09:00:00,KBOS,287.14999977777785,281.09999977777784,4.1172384000000015,102128.11,
2021-06-01 10:00:00,KBOS,287.14999977777785,281.09999977777784,3.6031424,102161.95,
2021-06-01 11:00:00,KBOS,288.14999977777785,281.09999977777784,4.1172384000000015,102229.63,
2021-06-01 12:00:00,KBOS,289.14999977777785,281.08888866666666,4.6313344,102263.47,
2021-06-01 13:00:00,KBOS,292.14999977777785,281.09999977777784,4.6313344,102263.47,
2021-06-01 14:00:00,KBOS,294.14999977777785,280.1111108888889,4.1172384000000015,102263.47,
2021-06-01 15:00:00,KBOS,295.14999977777785,281.122222,3.6031424,102229.63,
2021-06-01 16:00:00,KBOS,296.14999977777785,282.12777755555555,3.0890464,102229.63,
2021-06-01 17:00:00,KBOS,297.14999977777785,282.1388886666667,4.1172384000000015,102195.79,
2021-06-01 18:00:00,KBOS,297.14999977777785,282.1388886666667,3.6031424,102161.95,
2021-06-01 19:00:00,KBOS,297.14999977777785,282.1388886666667,4.6313344,102128.11,
2021-06-01 20:00:00,KBOS,297.14999977777785,280.1388886666667,5.1454304,102094.27,
2021-06-01 21:00:00,KBOS,298.14999977777785,280.14999977777785,6.1736224,102060.43,
2021-06-01 22:00:00,KBOS,297.14999977777785,281.1388886666667,5.6595264,102060.43,43.75
2021-06-01 23:00:00,KBOS,297.14999977777785,280.1388886666667,5.6595264,102060.43,43.75
2021-06-02 00:00:00,KBOS,296.14999977777785,280.12777755555555,4.1172384000000015,102094.27,43.75
2021-06-02 01:00:00,KBOS,293.14999977777785,282.1111108888889,5.1454304,102128.11,43.75
2021-06-02 02:00:00,KBOS,293.14999977777785,281.09999977777784,5.6595264,102195.79,43.75
2021-06-02 03:00:00,KBOS,292.14999977777785,281.09999977777784,5.6595264,102195.79,43.75
2021-06-02 04:00:00,KBOS,292.14999977777785,283.1111108888889,5.6595264,102195.79,43.75
2021-06-02 05:00:00,KBOS,292.14999977777785,284.1111108888889,5.6595264,102195.79,
2021-06-02 06:00:00,KBOS,292.14999977777785,284.1111108888889,2.57048,102195.79,
2021-06-02 07:00:00,KBOS,290.14999977777785,283.1111108888889,2.056384,102195.79,
2021-06-02 08:00:00,KBOS,289.14999977777785,284.1111108888889,2.056384,102195.79,
2021-06-02 09:00:00,KBOS,288.14999977777785,284.122222,3.6031424,102229.63,
2021-06-02 10:00:00,KBOS,287.14999977777785,284.122222,2.57048,102229.63,
2021-06-02 11:00:00,KBOS,290.14999977777785,284.1111108888889,2.056384,102263.47,
2021-06-02 12:00:00,KBOS,291.14999977777785,284.1111108888889,3.0890464,102297.31,
2021-06-02 13:00:00,KBOS,294.14999977777785,285.122222,1.5422879999999999,102297.31,
2021-06-02 14:00:00,KBOS,296.14999977777785,285.12777755555555,0.0,102297.31,
2021-06-02 15:00:00,KBOS,297.14999977777785,286.1388886666667,0.0,102263.47,
2021-06-02 16:00:00,KBOS,298.14999977777785,286.1388886666667,3.6031424,102263.47,
2021-06-02 17:00:00,KBOS,297.54999977777777,284.83888866666666,6.6877184000000005,102195.79,75.0
2021-06-02 18:00:00,KBOS,297.14999977777785,284.1388886666667,6.6877184000000005,102161.95,43.75
2021-06-02 19:00:00,KBOS,296.14999977777785,286.12777755555555,6.6877184000000005,102128.11,43.75
2021-06-02 20:00:00,KBOS,297.14999977777785,287.1388886666667,5.6595264,102060.43,43.75
2021-06-02 21:00:00,KBOS,299.14999977777785,285.1611108888889,6.6877184000000005,101992.75,43.75
2021-06-02 22:00:00,KBOS,298.14999977777785,285.14999977777785,6.1736224,102026.59,43.75
2021-06-02 23:00:00,KBOS,296.14999977777785,284.12777755555555,8.2300064,102026.59,43.75
2021-06-03 00:00:00,KBOS,294.14999977777785,286.122222,5.1454304,102094.27,43.75
2021-06-03 01:00:00,KBOS,293.14999977777785,286.122222,5.1454304,102128.11,43.75
2021-06-03 02:00:00,KBOS,292.14999977777785,286.122222,4.1172384000000015,102161.95,
2021-06-03 03:00:00,KBOS,293.14999977777785,286.122222,4.6313344,102128.11,
2021-06-03 04:00:00,KBOS,292.14999977777785,286.122222,5.6595264,102128.11,43.75
2021-06-03 05:00:00,KBOS,292.14999977777785,286.122222,4.1172384000000015,102094.27,75.0
2021-06-03 06:00:00,KBOS,291.14999977777785,285.1111108888889,3.6031424,102026.59,43.75
2021-06-03 07:00:00,KBOS,290.14999977777785,285.122222,4.1172384000000015,102026.59,
2021-06-03 08:00:00,KBOS,290.14999977777785,285.122222,2.57048,101992.75,
2021-06-03 09:00:00,KBOS,289.14999977777785,285.122222,2.056384,101992.75,
2021-06-03 10:00:00,KBOS,289.14999977777785,285.122222,2.056384,101958.91,43.75
2021-06-03 11:00:00,KBOS,289.14999977777785,286.12777755555555,2.056384,101992.75,43.75
2021-06-03 12:00:00,KBOS,290.14999977777785,286.122222,2.57048,101958.91,43.75
2021-06-03 13:00:00,KBOS,291.14999977777785,286.122222,2.57048,101925.07,75.0
2021-06-03 14:00:00,KBOS,291.14999977777785,287.12777755555555,2.57048,101891.23,43.75
2021-06-03 15:00:00,KBOS,292.14999977777785,288.12777755555555,4.1172384000000015,101857.39,100.0
2021-06-03 16:00:00,KBOS,294.14999977777785,287.122222,3.6031424,101755.87,75.0
2021-06-03 17:00:00,KBOS,295.14999977777785,288.12777755555555,3.6031424,101688.19,75.0
2021-06-03 18:00:00,KBOS,297.14999977777785,290.1388886666667,7.2018144,101586.67,75.0
2021-06-03 19:00:00,KBOS,297.14999977777785,291.1388886666667,6.6877184000000005,101485.15,75.0
2021-06-03 20:00:00,KBOS,297.14999977777785,291.1388886666667,6.1736224,101417.47,100.0
2021-06-03 21:00:00,KBOS,297.14999977777785,291.1388886666667,6.6877184000000005,101349.8,75.0
2021-06-03 22:00:00,KBOS,296.14999977777785,291.1388886666667,8.744102400000001,101282.12,75.0
2021-06-03 23:00:00,KBOS,296.14999977777785,291.1388886666667,6.6877184000000005,101248.28,75.0
2021-06-04 00:00:00,KBOS,295.14999977777785,291.1388886666667,6.6877184000000005,101248.28,75.0
2021-06-04 01:00:00,KBOS,295.14999977777785,291.1388886666667,6.1736224,101315.96,100.0
2021-06-04 02:00:00,KBOS,295.14999977777785,290.1388886666667,7.2018144,101315.96,100.0
2021-06-04 03:00:00,KBOS,295.14999977777785,290.1388886666667,6.6877184000000005,101282.12,100.0
2021-06-04 04:00:00,KBOS,295.14999977777785,291.1388886666667,5.6595264,101248.28,100.0
2021-06-04 05:00:00,KBOS,294.14999977777785,291.1388886666667,3.0890464,101214.44,75.0
2021-06-04 06:00:00,KBOS,293.14999977777785,290.1388886666667,5.1454304,101180.6,100.0
2021-06-04 07:00:00,KBOS,293.14999977777785,290.1388886666667,4.1172384000000015,101180.6,100.0
2021-06-04 08:00:00,KBOS,292.14999977777785,290.1388886666667,4.1172384000000015,101146.76,100.0
2021-06-04 09:00:00,KBOS,292.14999977777785,290.1388886666667,4.6313344,101112.92,100.0
2021-06-04 10:00:00,KBOS,293.14999977777785,290.1388886666667,6.6877184000000005,101112.92,100.0
2021-06-04 11:00:00,KBOS,294.14999977777785,291.1388886666667,5.6595264,101079.08,43.75
2021-06-04 12:00:00,KBOS,295.14999977777785,291.1388886666667,5.6595264,101079.08,43.75
2021-06-04 13:00:00,KBOS,296.14999977777785,291.1388886666667,6.1736224,101112.92,
2021-06-04 14:00:00,KBOS,297.14999977777785,291.1388886666667,7.2018144,101112.92,43.75
2021-06-04 15:00:00,KBOS,297.14999977777785,291.1388886666667,6.1736224,101112.92,75.0
2021-06-04 16:00:00,KBOS,298.14999977777785,291.14999977777785,5.1454304,101112.92,75.0
2021-06-04 17:00:00,KBOS,299.14999977777785,291.14999977777785,4.6313344,101045.24,43.75
2021-06-04 18:00:00,KBOS,299.14999977777785,291.14999977777785,5.6595264,101011.4,75.0
2021-06-04 19:00:00,KBOS,300.14999977777785,291.1611108888889,6.6877184000000005,100977.56,75.0
2021-06-04 20:00:00,KBOS,298.14999977777785,292.14999977777785,5.1454304,100977.56,100.0
2021-06-04 21:00:00,KBOS,296.14999977777785,291.1388886666667,5.1454304,100943.72,100.0
2021-06-04 22:00:00,KBOS,296.14999977777785,291.1388886666667,4.6313344,101011.4,43.75
2021-06-04 23:00:00,KBOS,295.14999977777785,291.1388886666667,3.6031424,101011.4,
2021-06-05 00:00:00,KBOS,295.14999977777785,290.1388886666667,4.1172384000000015,101045.24,
2021-06-05 01:00:00,KBOS,295.14999977777785,290.1388886666667,5.1454304,101011.4,
2021-06-05 02:00:00,KBOS,294.14999977777785,289.12777755555555,4.1172384000000015,101112.92,
2021-06-05 03:00:00,KBOS,293.14999977777785,290.1388886666667,4.6313344,101079.08,
2021-06-05 04:00:00,KBOS,292.14999977777785,289.12777755555555,3.0890464,101079.08,
2021-06-05 05:00:00,KBOS,292.14999977777785,289.12777755555555,3.6031424,101045.24,
2021-06-05 06:00:00,KBOS,293.14999977777785,290.1388886666667,4.1172384000000015,101045.24,
2021-06-05 07:00:00,KBOS,292.14999977777785,289.12777755555555,2.056384,101079.08,
2021-06-05 08:00:00,KBOS,291.14999977777785,289.1388886666667,4.1172384000000015,101045.24,
2021-06-05 09:00:00,KBOS,291.14999977777785,289.1388886666667,0.0,101079.08,
2021-06-05 10:00:00,KBOS,290.14999977777785,289.1388886666667,0.0,101112.92,
2021-06-05 11:00:00,KBOS,292.14999977777785,289.12777755555555,3.0890464,101112.92,
2021-06-05 12:00:00,KBOS,294.14999977777785,290.12777755555555,3.0890464,101112.92,
2021-06-05 13:00:00,KBOS,298.14999977777785,290.14999977777785,1.5422879999999999,101112.92,
2021-06-05 14:00:00,KBOS,300.14999977777785,290.1611108888889,4.6313344,101079.08,
2021-06-05 15:00:00,KBOS,302.14999977777785,289.1777775555556,5.1454304,101045.24,
2021-06-05 16:00:00,KBOS,304.14999977777785,289.21111088888887,5.6595264,100977.56,
2021-06-05 17:00:00,KBOS,305.14999977777785,287.23888866666664,8.2300064,100909.88,
2021-06-05 18:00:00,KBOS,305.14999977777785,288.23888866666664,7.2018144,100808.36,
2021-06-05 19:00:00,KBOS,305.14999977777785,290.22222200000004,8.744102400000001,100740.68,
2021-06-05 20:00:00,KBOS,305.14999977777785,290.22222200000004,8.744102400000001,100706.84,
2021-06-05 21:00:00,KBOS,305.14999977777785,291.22222200000004,7.7159104,100740.68,43.75
2021-06-05 22:00:00,KBOS,305.14999977777785,291.22222200000004,7.2018144,100706.84,
2021-06-05 23:00:00,KBOS,305.14999977777785,291.22222200000004,7.2018144,100774.52,
2021-06-06 00:00:00,KBOS,304.14999977777785,291.21111088888887,6.6877184000000005,100808.36,75.0
2021-06-06 01:00:00,KBOS,303.14999977777785,291.1888886666667,2.57048,100943.72,75.0
2021-06-06 02:00:00,KBOS,302.14999977777785,291.1777775555556,5.1454304,101011.4,
2021-06-06 03:00:00,KBOS,301.14999977777785,291.17222200000003,5.6595264,101079.08,
2021-06-06 04:00:00,KBOS,300.14999977777785,291.1611108888889,4.1172384000000015,101112.92,
2021-06-06 05:00:00,KBOS,301.14999977777785,289.17222200000003,3.6031424,101112.92,
2021-06-06 06:00:00,KBOS,300.14999977777785,289.1611108888889,3.0890464,101146.76,
2021-06-06 07:00:00,KBOS,297.14999977777785,290.1388886666667,3.6031424,101180.6,
2021-06-06 08:00:00,KBOS,298.14999977777785,289.14999977777785,4.1172384000000015,101214.44,
2021-06-06 09:00:00,KBOS,297.14999977777785,287.1388886666667,2.056384,101282.12,
2021-06-06 10:00:00,KBOS,297.14999977777785,287.1388886666667,2.57048,101349.8,
2021-06-06 11:00:00,KBOS,300.14999977777785,286.1611108888889,3.0890464,101383.64,
2021-06-06 12:00:00,KBOS,300.14999977777785,287.1611108888889,3.6031424,101417.47,
2021-06-06 13:00:00,KBOS,301.14999977777785,289.17222200000003,3.0890464,101485.15,
2021-06-06 14:00:00,KBOS,303.14999977777785,289.19999977777775,2.57048,101485.15,
2021-06-06 15:00:00,KBOS,305.14999977777785,289.22777755555563,3.0890464,101485.15,
2021-06-06 16:00:00,KBOS,305.14999977777785,290.22222200000004,5.6595264,101485.15,
2021-06-06 17:00:00,KBOS,306.14999977777785,289.24999977777776,5.1454304,101417.47,
2021-06-06 18:00:00,KBOS,307.14999977777785,289.272222,4.6313344,101383.64,
2021-06-06 19:00:00,KBOS,307.14999977777785,287.2777775555556,6.6877184000000005,101383.64,43.75
2021-06-06 20:00:00,KBOS,307.14999977777785,288.272222,6.1736224,101349.8,43.75
2021-06-06 21:00:00,KBOS,307.14999977777785,289.272222,6.1736224,101349.8,
2021-06-06 22:00:00,KBOS,306.14999977777785,288.24999977777776,5.6595264,101315.96,43.75
2021-06-06 23:00:00,KBOS,306.14999977777785,288.24999977777776,5.6595264,101315.96,43.75
2021-06-07 00:00:00,KBOS,306.14999977777785,288.24999977777776,5.6595264,101383.64,
2021-06-07 01:00:00,KBOS,305.14999977777785,288.23888866666664,3.6031424,101417.47,
2021-06-07 02:00:00,KBOS,302.14999977777785,289.1777775555556,4.1172384000000015,101485.15,
2021-06-07 03:00:00,KBOS,301.14999977777785,290.17222200000003,5.1454304,101552.83,
2021-06-07 04:00:00,KBOS,300.14999977777785,290.1611108888889,5.1454304,101586.67,
2021-06-07 05:00:00,KBOS,300.14999977777785,290.1611108888889,5.6595264,101552.83,
2021-06-07 06:00:00,KBOS,299.14999977777785,290.14999977777785,5.6595264,101586.67,
2021-06-07 07:00:00,KBOS,299.14999977777785,290.14999977777785,5.1454304,101586.67,
2021-06-07 08:00:00,KBOS,298.14999977777785,290.14999977777785,4.6313344,101586.67,
2021-06-07 09:00:00,KBOS,297.14999977777785,290.1388886666667,4.1172384000000015,101586.67,
2021-06-07 10:00:00,KBOS,296.14999977777785,290.1388886666667,3.0890464,101620.51,
2021-06-07 11:00:00,KBOS,297.14999977777785,290.1388886666667,2.57048,101688.19,
2021-06-07 12:00:00,KBOS,300.14999977777785,291.1611108888889,3.0890464,101688.19,
2021-06-07 13:00:00,KBOS,302.14999977777785,292.1777775555556,1.5422879999999999,101722.03,
2021-06-07 14:00:00,KBOS,303.14999977777785,292.1888886666667,4.1172384000000015,101722.03,
2021-06-07 15:00:00,KBOS,304.14999977777785,293.19999977777775,4.1172384000000015,101722.03,
2021-06-07 16:00:00,KBOS,306.14999977777785,293.22777755555563,7.7159104,101688.19,
2021-06-07 17:00:00,KBOS,306.14999977777785,289.24999977777776,6.1736224,101586.67,43.75
2021-06-07 18:00:00,KBOS,308.14999977777785,290.2777775555556,6.6877184000000005,101552.83,43.75
2021-06-07 19:00:00,KBOS,308.14999977777785,290.2777775555556,8.2300064,101485.15,43.75
2021-06-07 20:00:00,KBOS,308.14999977777785,291.2777775555556,5.1454304,101451.31,43.75
2021-06-07 21:00:00,KBOS,305.14999977777785,294.21111088888887,5.6595264,101417.47,43.75
2021-06-07 22:00:00,KBOS,306.14999977777785,293.22777755555563,9.2581984,101349.8,43.75
2021-06-07 23:00:00,KBOS,306.14999977777785,293.22777755555563,7.2018144,101383.64,
2021-06-08 00:00:00,KBOS,305.14999977777785,293.21111088888887,8.2300064,101417.47,43.75
2021-06-08 01:00:00,KBOS,302.14999977777785,293.1777775555556,4.6313344,101451.31,
2021-06-08 02:00:00,KBOS,300.14999977777785,293.1611108888889,4.6313344,101518.99,
2021-06-08 03:00:00,KBOS,300.14999977777785,293.1611108888889,6.1736224,101518.99,
2021-06-08 04:00:00,KBOS,300.14999977777785,293.1611108888889,5.6595264,101518.99,
2021-06-08 05:00:00,KBOS,299.14999977777785,292.14999977777785,5.6595264,101518.99,
2021-06-08 06:00:00,KBOS,298.14999977777785,292.14999977777785,5.6595264,101518.99,
2021-06-08 07:00:00,KBOS,297.14999977777785,292.1388886666667,5.6595264,101552.83,
2021-06-08 08:00:00,KBOS,297.14999977777785,292.1388886666667,5.6595264,101518.99,
2021-06-08 09:00:00,KBOS,297.14999977777785,292.1388886666667,4.1172384000000015,101552.83,
2021-06-08 10:00:00,KBOS,297.14999977777785,292.1388886666667,4.6313344,101552.83,43.75
2021-06-08 11:00:00,KBOS,299.14999977777785,292.14999977777785,5.1454304,101552.83,
2021-06-08 12:00:00,KBOS,300.14999977777785,294.1611108888889,3.6031424,101586.67,
2021-06-08 13:00:00,KBOS,302.14999977777785,294.17222200000003,4.1172384000000015,101586.67,
2021-06-08 14:00:00,KBOS,304.14999977777785,294.1888886666667,3.6031424,101552.83,
2021-06-08 15:00:00,KBOS,305.14999977777785,294.21111088888887,4.1172384000000015,101552.83,43.75
2021-06-08 16:00:00,KBOS,306.14999977777785,294.22222200000004,3.6031424,101552.83,
2021-06-08 17:00:00,KBOS,307.14999977777785,294.23888866666664,3.0890464,101485.15,43.75
2021-06-08 18:00:00,KBOS,307.14999977777785,294.23888866666664,6.1736224,101417.47,43.75
2021-06-08 19:00:00,KBOS,307.14999977777785,294.23888866666664,4.1172384000000015,101349.8,100.0
2021-06-08 20:00:00,KBOS,307.14999977777785,294.23888866666664,4.6313344,101315.96,75.0
2021-06-08 21:00:00,KBOS,306.14999977777785,295.22222200000004,4.6313344,101349.8,43.75
2021-06-08 22:00:00,KBOS,303.14999977777785,295.1777775555556,4.1172384000000015,101349.8,
2021-06-08 23:00:00,KBOS,302.14999977777785,294.17222200000003,4.1172384000000015,101383.64,75.0
2021-06-09 00:00:00,KBOS,301.14999977777785,294.1611108888889,3.6031424,101383.64,43.75
2021-06-09 01:00:00,KBOS,302.14999977777785,293.1777775555556,2.57048,101383.64,43.75
2021-06-09 02:00:00,KBOS,301.14999977777785,294.1611108888889,4.6313344,101451.31,43.75
2021-06-09 03:00:00,KBOS,300.14999977777785,294.1611108888889,3.0890464,101451.31,75.0
2021-06-09 04:00:00,KBOS,297.14999977777785,294.14999977777785,2.056384,101417.47,
2021-06-09 05:00:00,KBOS,298.14999977777785,295.14999977777785,2.57048,101383.64,
2021-06-09 06:00:00,KBOS,298.14999977777785,294.14999977777785,1.5422879999999999,101349.8,75.0
2021-06-09 07:00:00,KBOS,297.14999977777785,295.14999977777785,0.0,101349.8,
2021-06-09 08:00:00,KBOS,298.14999977777785,295.14999977777785,1.5422879999999999,101282.12,43.75
2021-06-09 09:00:00,KBOS,297.14999977777785,295.14999977777785,0.0,101282.12,43.75
2021-06-09 10:00:00,KBOS,297.14999977777785,295.14999977777785,2.57048,101248.28,75.0
2021-06-09 11:00:00,KBOS,298.14999977777785,295.14999977777785,3.6031424,101248.28,
2021-06-09 12:00:00,KBOS,299.14999977777785,294.14999977777785,3.0890464,101214.44,43.75
2021-06-09 13:00:00,KBOS,300.14999977777785,294.1611108888889,4.1172384000000015,101248.28,
2021-06-09 14:00:00,KBOS,300.14999977777785,294.1611108888889,5.1454304,101282.12,43.75
2021-06-09 15:00:00,KBOS,302.14999977777785,294.17222200000003,5.1454304,101282.12,
2021-06-09 16:00:00,KBOS,304.14999977777785,294.1888886666667,6.1736224,101282.12,43.75
2021-06-09 17:00:00,KBOS,305.14999977777785,294.21111088888887,4.6313344,101248.28,
2021-06-09 18:00:00,KBOS,301.14999977777785,294.1611108888889,4.6313344,101248.28,43.75
2021-06-09 19:00:00,KBOS,303.14999977777785,294.1777775555556,4.1172384000000015,101248.28,43.75
2021-06-09 20:00:00,KBOS,301.14999977777785,293.17222200000003,4.1172384000000015,101214.44,75.0
2021-06-09 21:00:00,KBOS,301.14999977777785,293.17222200000003,2.57048,101180.6,43.75
2021-06-09 22:00:00,KBOS,305.14999977777785,290.22222200000004,6.6877184000000005,101180.6,
2021-06-09 23:00:00,KBOS,304.14999977777785,288.22222200000004,5.6595264,101180.6,43.75
2021-06-10 00:00:00,KBOS,299.14999977777785,292.14999977777785,3.0890464,101248.28,43.75
2021-06-10 01:00:00,KBOS,297.14999977777785,292.1388886666667,0.0,101315.96,43.75
2021-06-10 02:00:00,KBOS,300.14999977777785,291.1611108888889,3.0890464,101383.64,43.75
2021-06-10 03:00:00,KBOS,300.14999977777785,285.17222200000003,5.1454304,101417.47,
2021-06-10 04:00:00,KBOS,300.14999977777785,282.17222200000003,5.1454304,101417.47,
2021-06-10 05:00:00,KBOS,298.14999977777785,282.14999977777785,4.6313344,101451.31,
2021-06-10 06:00:00,KBOS,297.14999977777785,281.1388886666667,2.056384,101417.47,
2021-06-10 07:00:00,KBOS,295.14999977777785,282.122222,1.5422879999999999,101451.31,
2021-06-10 08:00:00,KBOS,296.14999977777785,281.12777755555555,3.0890464,101451.31,
2021-06-10 09:00:00,KBOS,294.14999977777785,284.1111108888889,2.056384,101451.31,
2021-06-10 10:00:00,KBOS,293.14999977777785,284.1111108888889,2.57048,101552.83,43.75
2021-06-10 11:00:00,KBOS,294.14999977777785,284.1111108888889,3.6031424,101586.67,
2021-06-10 12:00:00,KBOS,295.14999977777785,283.122222,5.6595264,101654.35,
2021-06-10 13:00:00,KBOS,294.84999977777784,283.122222,4.1172384000000015,101755.87,75.0
2021-06-10 14:00:00,KBOS,294.14999977777785,283.1111108888889,6.1736224,101789.71,
2021-06-10 15:00:00,KBOS,294.14999977777785,279.1111108888889,7.2018144,101857.39,
2021-06-10 16:00:00,KBOS,294.14999977777785,280.1111108888889,6.6877184000000005,101891.23,
2021-06-10 17:00:00,KBOS,294.14999977777785,280.1111108888889,6.6877184000000005,101857.39,
2021-06-10 18:00:00,KBOS,294.14999977777785,281.1111108888889,7.2018144,101857.39,43.75
2021-06-10 19:00:00,KBOS,292.14999977777785,281.09999977777784,6.1736224,101857.39,
2021-06-10 20:00:00,KBOS,292.14999977777785,281.09999977777784,6.6877184000000005,101823.55,43.75
2021-06-10 21:00:00,KBOS,291.14999977777785,281.09999977777784,6.1736224,101789.71,
2021-06-10 22:00:00,KBOS,292.14999977777785,282.09999977777784,7.2018144,101755.87,
